"","term","kana","pos","value"
"17131","快刀","かいとう","名詞",-0.213333
"17132","超勤","ちょうきん","名詞",-0.213337
"17133","旧字体","きゅうじたい","名詞",-0.213344
"17134","篤実","とくじつ","名詞",-0.213373
"17135","商議員","しょうぎいん","名詞",-0.213375
"17136","密書","みっしょ","名詞",-0.213383
"17137","現ずる","げんずる","動詞",-0.213386
"17138","使い込む","つかいこむ","動詞",-0.2134
"17139","乱婚","らんこん","名詞",-0.213431
"17140","投薬","とうやく","名詞",-0.213433
"17141","天測","てんそく","名詞",-0.213438
"17142","変通","へんつう","名詞",-0.213465
"17143","百官","ひゃっかん","名詞",-0.213479
"17144","地鳴き","じなき","名詞",-0.213485
"17145","続載","ぞくさい","名詞",-0.213494
"17146","刃傷","にんじょう","名詞",-0.213533
"17147","税吏","ぜいり","名詞",-0.21354
"17148","ピストン輸送","ピストンゆそう","名詞",-0.213549
"17149","疑問符","ぎもんふ","名詞",-0.213552
"17150","課税","かぜい","名詞",-0.213569
"17151","気象","きしょう","名詞",-0.213579
"17152","史話","しわ","名詞",-0.213589
"17153","攻落す","せめおとす","動詞",-0.213591
"17154","差損","さそん","名詞",-0.213611
"17155","教区","きょうく","名詞",-0.21362
"17156","食い延す","くいのばす","動詞",-0.213639
"17157","柱廊","ちゅうろう","名詞",-0.213651
"17158","仏菩薩","ぶつぼさつ","名詞",-0.213652
"17159","私服","しふく","名詞",-0.213653
"17160","鉄骨","てっこつ","名詞",-0.213688
"17161","霊山","れいざん","名詞",-0.213724
"17162","兼務","けんむ","名詞",-0.21373
"17163","年長","ねんちょう","名詞",-0.213735
"17164","気圏","きけん","名詞",-0.213755
"17165","ソング","ソング","名詞",-0.213758
"17166","除去","じょきょ","名詞",-0.213767
"17167","再認","さいにん","名詞",-0.21378
"17168","死花","しか","名詞",-0.213782
"17169","少年団","しょうねんだん","名詞",-0.213801
"17170","出戻り","でもどり","名詞",-0.213804
"17171","戦災","せんさい","名詞",-0.213813
"17172","黄鳥","こうちょう","名詞",-0.213827
"17173","引け時","ひけどき","名詞",-0.213829
"17174","詩想","しそう","名詞",-0.21384
"17175","釈尊","しゃくそん","名詞",-0.213847
"17176","縁日","えんにち","名詞",-0.213847
"17177","帳元","ちょうもと","名詞",-0.213881
"17178","治乱","ちらん","名詞",-0.213883
"17179","分子量","ぶんしりょう","名詞",-0.213884
"17180","所司代","しょしだい","名詞",-0.213891
"17181","鉄路","てつろ","名詞",-0.213944
"17182","闘将","とうしょう","名詞",-0.213955
"17183","マイル","マイル","名詞",-0.213966
"17184","言い条","いいじょう","名詞",-0.213968
"17185","アスター","アスター","名詞",-0.213996
"17186","長丁場","ながちょうば","名詞",-0.214013
"17187","国費","こくひ","名詞",-0.214019
"17188","曇勝ち","くもりがち","名詞",-0.214046
"17189","品目","ひんもく","名詞",-0.214052
"17190","衆愚","しゅうぐ","名詞",-0.214058
"17191","一代記","いちだいき","名詞",-0.214064
"17192","麻幹","おがら","名詞",-0.214069
"17193","上つ世","かみつよ","名詞",-0.214097
"17194","張手","はりて","名詞",-0.214106
"17195","進出","しんしゅつ","名詞",-0.214115
"17196","ぴいぴい","ぴいぴい","副詞",-0.214121
"17197","家電","かでん","名詞",-0.214128
"17198","全長","ぜんちょう","名詞",-0.214129
"17199","顫音","せんおん","名詞",-0.21413
"17200","投槍","なげやり","名詞",-0.214137
"17201","人影","ひとかげ","名詞",-0.21416
"17202","種板","たねいた","名詞",-0.214196
"17203","丸木橋","まるきばし","名詞",-0.214219
"17204","モノローグ","モノローグ","名詞",-0.214229
"17205","半母音","はんぼいん","名詞",-0.214237
"17206","鉢の子","はちのこ","名詞",-0.21425
"17207","東道","とうどう","名詞",-0.214269
"17208","国喪","こくそう","名詞",-0.214305
"17209","単価","たんか","名詞",-0.214309
"17210","依託","いたく","名詞",-0.214342
"17211","縷言","るげん","名詞",-0.214346
"17212","抜歯","ばっし","名詞",-0.214352
"17213","口直し","くちなおし","名詞",-0.214358
"17214","角柱","かくちゅう","名詞",-0.214364
"17215","密儀","みつぎ","名詞",-0.21437
"17216","容積率","ようせきりつ","名詞",-0.214375
"17217","三思","さんし","名詞",-0.214387
"17218","多血質","たけつしつ","名詞",-0.214388
"17219","入射","にゅうしゃ","名詞",-0.2144
"17220","百味","ひゃくみ","名詞",-0.214407
"17221","肉離れ","にくばなれ","名詞",-0.21441
"17222","聾","ろう","名詞",-0.214426
"17223","コンプレッサー","コンプレッサー","名詞",-0.214427
"17224","厘","りん","名詞",-0.214432
"17225","閨閥","けいばつ","名詞",-0.214432
"17226","激昂","げっこう","名詞",-0.214438
"17227","政務次官","せいむじかん","名詞",-0.214441
"17228","空返事","そらへんじ","名詞",-0.214449
"17229","花御堂","はなみどう","名詞",-0.214472
"17230","六経","りくけい","名詞",-0.214474
"17231","降雪","こうせつ","名詞",-0.214492
"17232","リフォーム","リフォーム","名詞",-0.214498
"17233","跡形","あとかた","名詞",-0.214522
"17234","ダブルス","ダブルス","名詞",-0.214536
"17235","鎮台","ちんだい","名詞",-0.214536
"17236","偏する","へんする","動詞",-0.21455
"17237","見取図","みとりず","名詞",-0.214554
"17238","鶏肋","けいろく","名詞",-0.214562
"17239","果糖","かとう","名詞",-0.214565
"17240","傍観","ぼうかん","名詞",-0.214568
"17241","中島","なかじま","名詞",-0.214571
"17242","深緑","ふかみどり","名詞",-0.214574
"17243","羊皮紙","ようひし","名詞",-0.214576
"17244","福助","ふくすけ","名詞",-0.214586
"17245","隻手","せきしゅ","名詞",-0.21461
"17246","ぐいっと","ぐいっと","副詞",-0.21462
"17247","セメン　シナ","セメン　シナ","名詞",-0.214661
"17248","バンガロー","バンガロー","名詞",-0.214686
"17249","受刑","じゅけい","名詞",-0.214689
"17250","車窓","しゃそう","名詞",-0.214719
"17251","申立てる","もうしたてる","動詞",-0.21472
"17252","激する","げきする","動詞",-0.214721
"17253","畝織","うねおり","名詞",-0.214735
"17254","金石文","きんせきぶん","名詞",-0.214739
"17255","粗鋼","そこう","名詞",-0.214759
"17256","アンチ","アンチ","名詞",-0.214769
"17257","畢生","ひっせい","名詞",-0.214779
"17258","省筆","しょうひつ","名詞",-0.214788
"17259","年額","ねんがく","名詞",-0.214803
"17260","練","れん","名詞",-0.214804
"17261","テアトル","テアトル","名詞",-0.214809
"17262","血眼","ちまなこ","名詞",-0.21481
"17263","ホイル","ホイル","名詞",-0.214828
"17264","法家","ほうか","名詞",-0.214833
"17265","結球","けっきゅう","名詞",-0.214844
"17266","歩道","ほどう","名詞",-0.214848
"17267","老僕","ろうぼく","名詞",-0.214861
"17268","相槌","あいづち","名詞",-0.214865
"17269","大谷石","おおやいし","名詞",-0.214872
"17270","胚乳","はいにゅう","名詞",-0.214889
"17271","艇身","ていしん","名詞",-0.214892
"17272","短艇","たんてい","名詞",-0.214892
"17273","善悪","ぜんあく","名詞",-0.214896
"17274","渡航","とこう","名詞",-0.214897
"17275","俯角","ふかく","名詞",-0.214901
"17276","命毛","いのちげ","名詞",-0.214901
"17277","手当り次第","てあたりしだい","副詞",-0.214903
"17278","幅広","はばひろ","名詞",-0.214906
"17279","ひね","ひね","名詞",-0.214914
"17280","がり版","がりばん","名詞",-0.214929
"17281","定本","ていほん","名詞",-0.21493
"17282","精巧","せいこう","名詞",-0.214954
"17283","神道教派","しんとうきょうは","名詞",-0.214958
"17284","愛する","あいする","動詞",-0.214965
"17285","ビオラ","ビオラ","名詞",-0.214974
"17286","洋画","ようが","名詞",-0.214992
"17287","古城","こじょう","名詞",-0.214994
"17288","寡婦","かふ","名詞",-0.215009
"17289","マルチ","マルチ","名詞",-0.21501
"17290","分水界","ぶんすいかい","名詞",-0.215015
"17291","三十三所","さんじゅうさんしょ","名詞",-0.215023
"17292","三角測量","さんかくそくりょう","名詞",-0.21503
"17293","陣立","じんだて","名詞",-0.21503
"17294","遊離","ゆうり","名詞",-0.215032
"17295","指頭","しとう","名詞",-0.21504
"17296","小口書","こぐちがき","名詞",-0.215044
"17297","定石","じょうせき","名詞",-0.215056
"17298","摂関","せっかん","名詞",-0.21506
"17299","定期券","ていきけん","名詞",-0.215068
"17300","写像","しゃぞう","名詞",-0.215085
"17301","背切り","せぎり","名詞",-0.21513
"17302","再演","さいえん","名詞",-0.21514
"17303","憶説","おくせつ","名詞",-0.215149
"17304","貸家","かしや","名詞",-0.215152
"17305","単行本","たんこうぼん","名詞",-0.215156
"17306","持腐れ","もちぐされ","名詞",-0.215157
"17307","吏員","りいん","名詞",-0.215162
"17308","生花","せいか","名詞",-0.215176
"17309","種紙","たねがみ","名詞",-0.215182
"17310","咬傷","こうしょう","名詞",-0.215184
"17311","鮭","しゃけ","名詞",-0.215188
"17312","持久","じきゅう","名詞",-0.21519
"17313","物産","ぶっさん","名詞",-0.215192
"17314","齟齬","そご","名詞",-0.215227
"17315","万里","ばんり","名詞",-0.215238
"17316","書入れ時","かきいれどき","名詞",-0.215242
"17317","士分","しぶん","名詞",-0.215243
"17318","泥板岩","でいばんがん","名詞",-0.215254
"17319","精進落","しょうじんおち","名詞",-0.215261
"17320","デパート","デパート","名詞",-0.215271
"17321","木骨","もっこつ","名詞",-0.215274
"17322","リアリティー","リアリティー","名詞",-0.215283
"17323","投物","なげもの","名詞",-0.215286
"17324","不動産","ふどうさん","名詞",-0.2153
"17325","同感","どうかん","名詞",-0.215355
"17326","略伝","りゃくでん","名詞",-0.215357
"17327","清閑","せいかん","名詞",-0.215366
"17328","自省","じせい","名詞",-0.215411
"17329","寄合所帯","よりあい","名詞",-0.215421
"17330","他生","たしょう","名詞",-0.215434
"17331","柔術","じゅうじゅつ","名詞",-0.215449
"17332","菊人形","きくにんぎょう","名詞",-0.215449
"17333","憤然","ふんぜん","名詞",-0.215474
"17334","付き物","つきもの","名詞",-0.215479
"17335","逆襲","ぎゃくしゅう","名詞",-0.215492
"17336","年俸","ねんぽう","名詞",-0.215497
"17337","アクション","アクション","名詞",-0.215505
"17338","協業","きょうぎょう","名詞",-0.215511
"17339","張替え","はりかえ","名詞",-0.215522
"17340","乗数","じょうすう","名詞",-0.215551
"17341","掉尾","ちょうび","名詞",-0.215558
"17342","ブロッコリー","ブロッコリー","名詞",-0.215566
"17343","旅物","たびもの","名詞",-0.215573
"17344","再帰","さいき","名詞",-0.215614
"17345","御諚","ごじょう","名詞",-0.215643
"17346","年忘れ","としわすれ","名詞",-0.215648
"17347","松","しょう","名詞",-0.215653
"17348","託児","たくじ","名詞",-0.215658
"17349","幹事","かんじ","名詞",-0.215695
"17350","基金","ききん","名詞",-0.215718
"17351","法器","ほうき","名詞",-0.215725
"17352","銀子","ぎんす","名詞",-0.215728
"17353","精神科学","せいしんかがく","名詞",-0.215731
"17354","演目","えんもく","名詞",-0.215739
"17355","七転八倒","しってんばっとう","名詞",-0.215742
"17356","種明し","たねあかし","名詞",-0.215754
"17357","後学","こうがく","名詞",-0.215763
"17358","人様","ひとさま","名詞",-0.21577
"17359","夕涼み","ゆうすずみ","名詞",-0.215771
"17360","衣帯","いたい","名詞",-0.215791
"17361","と","と","副詞",-0.215793
"17362","首題","しゅだい","名詞",-0.215812
"17363","出癖","でぐせ","名詞",-0.215841
"17364","痛み入る","いたみいる","動詞",-0.215844
"17365","文","もん","名詞",-0.215847
"17366","乗車券","じょうしゃけん","名詞",-0.215853
"17367","ニヒリズム","ニヒリズム","名詞",-0.215854
"17368","劇映画","げきえいが","名詞",-0.215857
"17369","紀行","きこう","名詞",-0.21586
"17370","フォーヴィスム","フォーヴィスム","名詞",-0.215874
"17371","戦列","せんれつ","名詞",-0.215885
"17372","表","おもて","名詞",-0.215885
"17373","養親子","ようしんし","名詞",-0.215892
"17374","音義","おんぎ","名詞",-0.215908
"17375","カロリー","カロリー","名詞",-0.215928
"17376","送料","そうりょう","名詞",-0.215939
"17377","黒土","こくど","名詞",-0.215975
"17378","内海","うちうみ","名詞",-0.215988
"17379","地縁","ちえん","名詞",-0.215992
"17380","包皮","ほうひ","名詞",-0.215993
"17381","伝令","でんれい","名詞",-0.215996
"17382","発足","ほっそく","名詞",-0.215997
"17383","枯枝","かれえだ","名詞",-0.215999
"17384","オングストローム","オングストローム","名詞",-0.216022
"17385","波及","はきゅう","名詞",-0.216024
"17386","江戸詰","えどづめ","名詞",-0.216032
"17387","糯米","もちごめ","名詞",-0.216049
"17388","ヴァニラ","ヴァニラ","名詞",-0.216051
"17389","カフェテリア","カフェテリア","名詞",-0.216076
"17390","切れ字","きれじ","名詞",-0.216081
"17391","買物","かいもの","名詞",-0.216081
"17392","著者","ちょしゃ","名詞",-0.216083
"17393","禁裏","きんり","名詞",-0.21609
"17394","虫腹","むしばら","名詞",-0.216093
"17395","視聴覚","しちょうかく","名詞",-0.216095
"17396","保母","ほぼ","名詞",-0.216114
"17397","度忘れ","どわすれ","名詞",-0.216122
"17398","電磁","でんじ","名詞",-0.216124
"17399","使臣","ししん","名詞",-0.216124
"17400","下読み","したよみ","名詞",-0.216127
"17401","五十肩","ごじゅうかた","名詞",-0.216137
"17402","スペア","スペア","名詞",-0.216152
"17403","土語","どご","名詞",-0.216153
"17404","備砲","びほう","名詞",-0.216163
"17405","関脇","せきわけ","名詞",-0.216165
"17406","撲滅","ぼくめつ","名詞",-0.216199
"17407","諜報","ちょうほう","名詞",-0.216202
"17408","ケース","ケースワーカー","名詞",-0.216209
"17409","写実主義","しゃじつしゅぎ","名詞",-0.216214
"17410","払下げ","はらいさげ","名詞",-0.216226
"17411","越訴","おっそ","名詞",-0.216249
"17412","頭蓋","とうがい","名詞",-0.216258
"17413","角細工","つのざいく","名詞",-0.216284
"17414","損耗","そんもう","名詞",-0.216331
"17415","嘘つき","うそつき","名詞",-0.216334
"17416","狂奔","きょうほん","名詞",-0.216345
"17417","略譜","りゃくふ","名詞",-0.216346
"17418","コントロール","コントロール","名詞",-0.216356
"17419","ヒューマニズム","ヒューマニズム","名詞",-0.216367
"17420","歳歳","さいさい","名詞",-0.216371
"17421","芸事","げいごと","名詞",-0.216408
"17422","御沙汰","ごさた","名詞",-0.216415
"17423","歳時記","さいじき","名詞",-0.216421
"17424","コルト","コルト","名詞",-0.216423
"17425","トロピカル","トロピカル","名詞",-0.216449
"17426","禁輸","きんゆ","名詞",-0.216456
"17427","季秋","きしゅう","名詞",-0.216456
"17428","棋譜","きふ","名詞",-0.216462
"17429","高値","たかね","名詞",-0.216463
"17430","手刷","てずり","名詞",-0.216464
"17431","ターバン","ターバン","名詞",-0.216479
"17432","鶚","みさご","名詞",-0.216493
"17433","高等官","こうとうかん","名詞",-0.216494
"17434","フリー","フリー","名詞",-0.216495
"17435","抑圧","よくあつ","名詞",-0.216529
"17436","ブローニング","ブローニング","名詞",-0.216535
"17437","花時","はなどき","名詞",-0.216537
"17438","チューン　アップ","チューン　アップ","名詞",-0.216539
"17439","尺じめ","しゃくじめ","名詞",-0.216542
"17440","白刃","はくじん","名詞",-0.216548
"17441","道化","どうけ","名詞",-0.21655
"17442","交合","こうごう","名詞",-0.216553
"17443","砲車","ほうしゃ","名詞",-0.216571
"17444","検見","けんみ","名詞",-0.216571
"17445","岡焼き","おかやき","名詞",-0.216581
"17446","コントラスト","コントラスト","名詞",-0.216608
"17447","農機具","のうきぐ","名詞",-0.21662
"17448","すらっと","すらっと","副詞",-0.216622
"17449","電磁場","でんじば","名詞",-0.21663
"17450","重労働","じゅうろうどう","名詞",-0.216636
"17451","だくだく","だくだく","副詞",-0.21664
"17452","此の方","このかた","名詞",-0.216652
"17453","スプリング","スプリング","名詞",-0.216667
"17454","太公望","たいこうぼう","名詞",-0.216667
"17455","ＯＢ","オービー","名詞",-0.216689
"17456","発信","はっしん","名詞",-0.216693
"17457","猫背","ねこぜ","名詞",-0.216696
"17458","イオン","イオン","名詞",-0.216709
"17459","段だら","だんだら","名詞",-0.21675
"17460","受け太刀","うけだち","名詞",-0.216756
"17461","練兵","れんぺい","名詞",-0.216782
"17462","牛車","ぎっしゃ","名詞",-0.216784
"17463","矢種","やだね","名詞",-0.216804
"17464","書役","かきやく","名詞",-0.216806
"17465","行動半径","こうどうはんけい","名詞",-0.216832
"17466","後前","うしろまえ","名詞",-0.216847
"17467","打出の小槌","うちでのこづち","名詞",-0.216848
"17468","懐かしむ","なつかしむ","動詞",-0.216861
"17469","タイム","タイムスイッチ","名詞",-0.216865
"17470","避寒","ひかん","名詞",-0.216869
"17471","秣場","まぐさば","名詞",-0.216881
"17472","ハーブ","ハーブ","名詞",-0.216883
"17473","ポテンシャル","ポテンシャル","名詞",-0.216896
"17474","御召物","おめしもの","名詞",-0.216917
"17475","埃","あい","名詞",-0.216938
"17476","ドライヤー","ドライヤー","名詞",-0.216943
"17477","上り調子","のぼりちょうし","名詞",-0.216963
"17478","海里","かいり","名詞",-0.21697
"17479","甘皮","あまかわ","名詞",-0.216998
"17480","筆触","ひっしょく","名詞",-0.217002
"17481","日和","ひより","名詞",-0.217004
"17482","形而上学","けいじじょうがく","名詞",-0.217034
"17483","煮える","にえる","動詞",-0.217047
"17484","上がり","あがり","名詞",-0.217054
"17485","盛付ける","もりつける","動詞",-0.217058
"17486","開通","かいつう","名詞",-0.217085
"17487","一位","いちい","名詞",-0.217089
"17488","差戻す","さしもどす","動詞",-0.217089
"17489","国防","こくぼう","名詞",-0.2171
"17490","マップ","マップ","名詞",-0.217104
"17491","掌理","しょうり","名詞",-0.217109
"17492","マイクロ","マイクロ","名詞",-0.217126
"17493","ジレンマ","ジレンマ","名詞",-0.217135
"17494","グリル","グリル","名詞",-0.217138
"17495","部分食","ぶぶんしょく","名詞",-0.217154
"17496","逃げ支度","にげじたく","名詞",-0.217155
"17497","梵天","ぼんてん","名詞",-0.217166
"17498","酒癖","さけくせ","名詞",-0.217176
"17499","義理合","ぎりあい","名詞",-0.217181
"17500","専用","せんよう","名詞",-0.217206
"17501","諷誦","ふうじゅ","名詞",-0.217208
"17502","迷妄","めいもう","名詞",-0.217254
"17503","チェック","チェックアウト","名詞",-0.217278
"17504","機巧","きこう","名詞",-0.217282
"17505","親","おや","名詞",-0.217298
"17506","藻魚","もうお","名詞",-0.217303
"17507","順列","じゅんれつ","名詞",-0.217333
"17508","送風","そうふう","名詞",-0.217336
"17509","有声音","ゆうせいおん","名詞",-0.217367
"17510","入潮","いりしお","名詞",-0.21738
"17511","反射望遠鏡","はんしゃぼうえんきょう","名詞",-0.217417
"17512","チューナー","チューナー","名詞",-0.217421
"17513","国外","こくがい","名詞",-0.217446
"17514","夷狄","いてき","名詞",-0.217451
"17515","六波羅蜜","ろくはらみつ","名詞",-0.217458
"17516","客殿","きゃくでん","名詞",-0.217484
"17517","なり手","なりて","名詞",-0.217496
"17518","蔗糖","しょとう","名詞",-0.217499
"17519","吹込む","ふきこむ","動詞",-0.217505
"17520","預血","よけつ","名詞",-0.217509
"17521","寮生","りょうせい","名詞",-0.217511
"17522","緋縮緬","ひぢりめん","名詞",-0.217512
"17523","通り言葉","とおりことば","名詞",-0.21752
"17524","奥向","おくむき","名詞",-0.217567
"17525","クロッカス","クロッカス","名詞",-0.217571
"17526","便ずる","べんずる","動詞",-0.217578
"17527","三和音","さんわおん","名詞",-0.217581
"17528","世間擦れ","せけんずれ","名詞",-0.217625
"17529","勢威","せいい","名詞",-0.217635
"17530","冷","ひや","名詞",-0.217635
"17531","三角","さんかく","名詞",-0.217637
"17532","便箋","びんせん","名詞",-0.217647
"17533","代行","だいこう","名詞",-0.217647
"17534","しょびく","しょびく","動詞",-0.217667
"17535","中学年","ちゅうがくねん","名詞",-0.217693
"17536","謎謎","なぞなぞ","名詞",-0.217705
"17537","前勘定","まえかんじょう","名詞",-0.217719
"17538","複複線","ふくふくせん","名詞",-0.217739
"17539","別邸","べってい","名詞",-0.21774
"17540","小包","こづつみ","名詞",-0.21774
"17541","本紀","ほんぎ","名詞",-0.217742
"17542","背地性","はいちせい","名詞",-0.217744
"17543","野中","のなか","名詞",-0.217746
"17544","累減","るいげん","名詞",-0.217751
"17545","はいすい量","はいすいりょう","名詞",-0.217752
"17546","乃父","だいふ","名詞",-0.217766
"17547","人付合い","ひとづきあい","名詞",-0.217777
"17548","甜菜","てんさい","名詞",-0.217781
"17549","地場","じば","名詞",-0.217797
"17550","鑑札","かんさつ","名詞",-0.217801
"17551","大蔵経","だいぞうきょう","名詞",-0.217816
"17552","縞目","しまめ","名詞",-0.217818
"17553","夢精","むせい","名詞",-0.217819
"17554","多面","ためん","名詞",-0.217823
"17555","銀本位","ぎんほんい","名詞",-0.217827
"17556","闘士","とうし","名詞",-0.217835
"17557","統帥","とうすい","名詞",-0.217838
"17558","転属","てんぞく","名詞",-0.217838
"17559","献体","けんたい","名詞",-0.217842
"17560","友垣","ともがき","名詞",-0.217843
"17561","憂鬱質","ゆううつしつ","名詞",-0.217845
"17562","ルンバ","ルンバ","名詞",-0.217864
"17563","別冊","べっさつ","名詞",-0.217869
"17564","猿人","えんじん","名詞",-0.217871
"17565","上京","じょうきょう","名詞",-0.217894
"17566","寸劇","すんげき","名詞",-0.217894
"17567","読応え","よみごたえ","名詞",-0.217901
"17568","連発","れんぱつ","名詞",-0.217912
"17569","活版","かっぱん","名詞",-0.217926
"17570","北の方","きたのかた","名詞",-0.217933
"17571","呼ばれる","よばれる","動詞",-0.217934
"17572","産み落す","うみおとす","動詞",-0.21794
"17573","蹴出し","けだし","名詞",-0.217951
"17574","先決","せんけつ","名詞",-0.217951
"17575","艦","かん","名詞",-0.217954
"17576","胸裏","きょうり","名詞",-0.217955
"17577","舟運","しゅううん","名詞",-0.217959
"17578","流出","りゅうしゅつ","名詞",-0.217964
"17579","人情話","にんじょうばなし","名詞",-0.217985
"17580","アスレチック","アスレチック","名詞",-0.217986
"17581","供花","くげ","名詞",-0.217989
"17582","鉛灰色","えんかいしょく","名詞",-0.218008
"17583","投射","とうしゃ","名詞",-0.218026
"17584","家産","かさん","名詞",-0.21804
"17585","純真","じゅんしん","名詞",-0.218056
"17586","脂肪太り","しぼうぶとり","名詞",-0.218065
"17587","校訂","こうてい","名詞",-0.218068
"17588","縫上げる","ぬいあげる","動詞",-0.218078
"17589","回訓","かいくん","名詞",-0.218079
"17590","廃合","はいごう","名詞",-0.218092
"17591","腹鼓","はらつづみ","名詞",-0.218094
"17592","職方","しょくかた","名詞",-0.218113
"17593","楷書","かいしょ","名詞",-0.218122
"17594","ポルカ","ポルカ","名詞",-0.218123
"17595","序盤","じょばん","名詞",-0.218132
"17596","月面","げつめん","名詞",-0.218145
"17597","生殺与奪","せいさつよだつ","名詞",-0.218171
"17598","中農","ちゅうのう","名詞",-0.218194
"17599","証歌","しょうか","名詞",-0.218198
"17600","伝動","でんどう","名詞",-0.218222
"17601","古道具","ふるどうぐ","名詞",-0.218224
"17602","須弥山","しゅみせん","名詞",-0.218232
"17603","真夜中","まよなか","名詞",-0.218241
"17604","媚","こび","名詞",-0.218241
"17605","痴情","ちじょう","名詞",-0.21827
"17606","月足らず","つきたらず","名詞",-0.218285
"17607","シグナル","シグナル","名詞",-0.218314
"17608","時論","じろん","名詞",-0.218316
"17609","狸囃子","たぬきばやし","名詞",-0.218347
"17610","七曲り","ななまがり","名詞",-0.218355
"17611","売物","うりもの","名詞",-0.218365
"17612","掲出","けいしゅつ","名詞",-0.218386
"17613","得喪","とくそう","名詞",-0.218398
"17614","ハイク","ハイク","名詞",-0.218419
"17615","合点","がってん","名詞",-0.21842
"17616","長大","ちょうだい","名詞",-0.218421
"17617","レタス","レタス","名詞",-0.218426
"17618","封地","ほうち","名詞",-0.218437
"17619","女学生","じょがくせい","名詞",-0.218443
"17620","ぶんまわし","ぶんまわし","名詞",-0.218446
"17621","偽悪","ぎあく","名詞",-0.218469
"17622","立憲政体","りっけんせいたい","名詞",-0.218477
"17623","改暦","かいれき","名詞",-0.218503
"17624","合せ酢","あわせず","名詞",-0.218538
"17625","上がり高","あがりだか","名詞",-0.218541
"17626","流転","るてん","名詞",-0.218577
"17627","綸旨","りんじ","名詞",-0.218588
"17628","カタパルト","カタパルト","名詞",-0.218597
"17629","ハイウエー","ハイウエー","名詞",-0.218601
"17630","ショール","ショール","名詞",-0.218613
"17631","ファゴット","ファゴット","名詞",-0.218615
"17632","足萎え","あしなえ","名詞",-0.218626
"17633","御会式","おえしき","名詞",-0.218631
"17634","ウエートレス","ウエートレス","名詞",-0.218641
"17635","公達","こうたつ","名詞",-0.218656
"17636","縫紋","ぬいもん","名詞",-0.218656
"17637","むり矢理","むりやり","名詞",-0.218668
"17638","被衣","かつぎ","名詞",-0.21869
"17639","床山","とこやま","名詞",-0.218692
"17640","発狂","はっきょう","名詞",-0.218712
"17641","整枝","せいし","名詞",-0.218715
"17642","サンプリング","サンプリング","名詞",-0.218719
"17643","フレーズ","フレーズ","名詞",-0.218725
"17644","予察","よさつ","名詞",-0.218735
"17645","灌仏会","かんぶつえ","名詞",-0.218736
"17646","後産","あとざん","名詞",-0.218749
"17647","請負業","うけおい","名詞",-0.218762
"17648","位置付ける","いちづける","動詞",-0.218781
"17649","攻め太鼓","せめだいこ","名詞",-0.218783
"17650","片肺","かたはい","名詞",-0.218784
"17651","純量","じゅんりょう","名詞",-0.218817
"17652","蓄電池","ちくでんち","名詞",-0.218818
"17653","掛合せる","かけあわせる","動詞",-0.218831
"17654","家政婦","かせいふ","名詞",-0.218841
"17655","羽車","はぐるま","名詞",-0.218843
"17656","濃緑","こみどり","名詞",-0.218845
"17657","通日","つうじつ","名詞",-0.218857
"17658","ボーキサイト","ボーキサイト","名詞",-0.218871
"17659","観念論","かんねんろん","名詞",-0.218887
"17660","軍師","ぐんし","名詞",-0.218887
"17661","非金属元素","ひきんぞくげんそ","名詞",-0.218907
"17662","希塩酸","きえんさん","名詞",-0.218915
"17663","園生","そのう","名詞",-0.218916
"17664","角速度","かくそくど","名詞",-0.218931
"17665","浮舟","うきふね","名詞",-0.218937
"17666","連関","れんかん","名詞",-0.21895
"17667","栄養素","えいようそ","名詞",-0.218967
"17668","浸炭","しんたん","名詞",-0.218977
"17669","プランナー","プランナー","名詞",-0.218978
"17670","マチネー","マチネー","名詞",-0.219008
"17671","公人","こうじん","名詞",-0.219009
"17672","一刻千金","いっこくせんきん","名詞",-0.219019
"17673","大仏","だいぶつ","名詞",-0.21902
"17674","天地玄黄","てんちげんこう","名詞",-0.219025
"17675","財界","ざいかい","名詞",-0.219026
"17676","広目屋","ひろめや","名詞",-0.219035
"17677","房事","ぼうじ","名詞",-0.219045
"17678","新来","しんらい","名詞",-0.219062
"17679","養豚","ようとん","名詞",-0.219063
"17680","鏡銅","きょうどう","名詞",-0.21907
"17681","下請","したうけ","名詞",-0.219089
"17682","家人","かじん","名詞",-0.219089
"17683","白波","しらなみ","名詞",-0.219099
"17684","長屋門","ながやもん","名詞",-0.2191
"17685","宮城","きゅうじょう","名詞",-0.219108
"17686","幻滅","げんめつ","名詞",-0.219111
"17687","教職","きょうしょく","名詞",-0.219112
"17688","お札","おさつ","名詞",-0.219128
"17689","下半身","かはんしん","名詞",-0.219133
"17690","制欲","せいよく","名詞",-0.219141
"17691","生薬","しょうやく","名詞",-0.219142
"17692","院号","いんごう","名詞",-0.219145
"17693","作付","さくづけ","名詞",-0.219149
"17694","船軍","ふないくさ","名詞",-0.219154
"17695","大樹","たいじゅ","名詞",-0.219157
"17696","大嘗祭","だいじょうさい","名詞",-0.219195
"17697","付いて回る","ついてまわる","動詞",-0.219203
"17698","一筆","ひとふで","名詞",-0.219207
"17699","ちんちくりん","ちんちくりん","名詞",-0.219223
"17700","見知る","みしる","動詞",-0.21924
"17701","重金属","じゅうきんぞく","名詞",-0.219272
"17702","利付","りつき","名詞",-0.21931
"17703","割増し","わりまし","名詞",-0.219312
"17704","立志伝","りっしでん","名詞",-0.219349
